S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
823,Uttarakhand,Champawat,"(29.8333° N, 79.5000° E)",3,1,18,144,4,128,0,0,20,14,1,24,2,26,14,0,2,0,0,14,3,12,6,139
824,Uttarakhand,Dehradun,"(30.5000° N, 78.0333° E)",33,4,606,1242,159,1501,0,606,890,277,46,703,2,1300,579,0,512,0,0,426,246,971,2,3457
825,Uttarakhand,Haridwar,"(29.9667° N, 78.2167° E)",73,9,725,360,393,1625,0,993,1678,292,62,1155,4,876,294,0,0,0,0,296,103,251,1303,4325
826,Uttarakhand,Nainital,"(29.3667° N, 79.4667° E)",18,4,252,1296,230,1202,0,288,412,128,38,325,2,252,127,0,0,0,0,204,36,138,1110,2659
827,Uttarakhand,Pauri Garhwal,"(30.2000° N, 78.8167° E)",6,2,51,21,32,217,0,27,80,8,0,60,0,68,34,0,0,0,0,34,36,53,96,353
828,Uttarakhand,Pithoragarh,"(29.9667° N, 80.2167° E)",5,2,25,69,38,149,0,18,24,12,5,33,0,117,39,0,59,0,0,22,72,142,4,315
829,Uttarakhand,Rudra Prayag,"(30.2833° N, 79.4167° E)",1,0,7,9,3,50,0,0,10,4,0,7,0,39,13,0,0,0,0,4,1,3,16,61
830,Uttarakhand,Tehri Garhwal,"(30.7333° N, 78.6667° E)",9,4,54,21,40,162,0,21,34,10,3,35,0,40,20,0,0,0,0,0,1,1,43,196
831,Uttarakhand,Udhamsingh Nagar,"(29.3667° N, 79.6167° E)",38,9,117,60,358,1428,0,447,1016,232,44,792,0,542,271,0,0,0,0,0,228,228,1292,3430
832,Uttarakhand,Uttarkashi,"(31.3500° N, 78.4667° E)",3,0,6,6,32,129,0,15,26,20,0,35,0,81,27,0,0,0,0,16,10,18,77,217
833,Uttarakhand,GRP,"(29.9533° N, 78.1292° E)",1,0,1,3,2,10,0,0,126,0,2,65,0,4,2,0,0,0,0,0,0,0,0,73
834,Uttarakhand,Cyber Cell,"(29.9585° N, 78.1196° E)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,West Bengal,Alipurduar,"26.5000° N, 89.5000° E",35,15,356,1428,82,1530,0,18,318,14,18,246,2,136,69,0,221,0,0,309,389,765,209,2275
836,West Bengal,Asansol-Durgapur PC,"23.6800° N, 86.9100° E",56,15,996,818,49,1551,0,69,614,29,139,1484,2,794,398,0,113,0,0,220,1905,2128,150,4864
837,West Bengal,Bankura,"22.7800° N, 87.0700° E",60,4,784,1751,107,1606,0,81,204,10,40,158,0,162,81,0,9,0,0,198,432,542,150,2324
838,West Bengal,Barrackpur PC,"22.7200° N, 88.3300° E",77,11,869,3725,1278,3808,0,163,1344,95,178,1181,6,2170,1088,0,0,0,0,338,1556,1725,1549,8621
839,West Bengal,Bidhannagar PC,"22.6000° N, 88.4000° E",17,2,280,360,152,680,3,3,418,5,104,376,2,1322,662,0,0,0,0,236,335,453,1479,3423
840,West Bengal,Birbhum,"24.1200° N, 87.8200° E",81,10,1382,2541,72,2554,0,255,414,15,189,518,2,299,149,0,938,0,0,482,420,1599,77,4575
841,West Bengal,Coochbehar,"26.3300° N, 89.4800° E",70,3,854,858,100,2595,0,295,428,22,28,327,8,221,103,0,0,0,0,242,616,737,1583,4399
842,West Bengal,Dakshin Dinajpur,"25.4200° N, 88.7500° E",40,8,862,2283,45,2606,3,2,234,5,30,194,0,120,60,0,358,0,2,280,305,805,73,2894
843,West Bengal,Darjeeling,"27.0300° N, 88.2300° E",20,7,261,375,147,639,0,16,246,6,4,178,2,193,76,0,0,0,0,180,150,240,325,1237
844,West Bengal,Hooghly Rural Police,"22.9500° N, 88.1200° E",56,8,863,282,42,1316,0,102,544,3,57,337,0,458,229,0,0,0,0,260,608,738,1814,3974
845,West Bengal,Howrah GRP,"22.6300° N, 88.3300° E",6,0,6,0,4,24,0,6,304,0,72,226,4,4,4,0,0,0,0,0,1,1,12,262
846,West Bengal,Howrah PC,"22.5700° N, 88.3200° E",44,6,786,909,85,1828,0,131,578,60,143,664,2,486,244,0,0,0,0,384,558,750,2660,5405
847,West Bengal,Howrah Rural,"22.5500° N, 88.1700° E",59,3,691,2508,53,2122,0,190,204,43,48,222,0,254,127,0,0,0,0,184,470,562,413,2903
848,West Bengal,Jalpaiguri,"26.5200° N, 88.7500° E",50,12,683,441,50,1294,0,3,510,15,14,320,0,274,137,0,0,0,0,464,305,537,1196,3017
849,West Bengal,Jhargram,"22.4000° N, 86.8200° E",27,1,358,414,51,710,0,21,140,2,21,117,0,62,31,0,0,0,0,66,99,132,334,1070
850,West Bengal,Kharagpur GRP,"22.3300° N, 87.2800° E",1,0,1,6,2,11,0,2,288,1,0,145,0,6,3,0,0,0,0,0,1,1,5,162
851,West Bengal,Kolkata,"22.5700° N, 88.3600° E",45,16,733,13536,534,6554,0,329,2492,115,32,1772,6,3758,1882,0,28,0,0,2697,1101,2604,1346,13067
852,West Bengal,Malda,"25.0000° N, 88.1200° E",105,5,3739,5904,165,7707,0,70,890,18,143,895,60,390,225,0,144,0,0,487,551,939,354,8382
853,West Bengal,Murshidabad Police District,"24.1700° N, 88.2800° E",116,6,2644,8586,195,7438,0,21,422,4,180,475,14,416,215,0,63,0,0,260,1466,1659,294,8506
854,West Bengal,Paschim Medinipur,"22.4500° N, 87.3300° E",110,12,1155,4170,582,4615,0,418,1486,46,126,1279,0,156,78,0,0,0,0,544,916,1188,1271,6834
855,West Bengal,Purab Medinipur,"22.7200° N, 87.6800° E",71,7,1704,243,112,3828,0,434,662,24,43,974,0,193,95,0,0,0,0,624,896,1208,2832,6923
856,West Bengal,Purulia,"23.3300° N, 86.3300° E",51,6,455,2355,72,1362,0,3,200,8,20,477,0,68,34,0,0,0,0,88,229,273,885,2692
857,West Bengal,Sealdah GRP,"22.5600° N, 88.3500° E",17,1,6,55,2,58,0,7,212,0,14,123,0,12,5,0,0,0,0,8,2,6,4,187
858,West Bengal,Siliguri GRP,"26.7200° N, 88.4200° E",4,0,0,0,6,19,0,0,156,0,0,78,0,0,0,0,0,0,0,0,0,0,17,105
859,West Bengal,Siliguri PC,"26.7200° N, 88.4200° E",34,8,382,2160,139,2213,0,13,934,19,104,698,0,1096,528,0,0,0,0,305,776,931,854,4302
860,West Bengal,Baruipur Police,"22.3300° N, 88.4200° E",83,13,577,2286,68,2846,0,279,654,23,141,582,2,1058,530,0,0,0,0,218,1279,1388,3712,7979
861,West Bengal,Chandannagar PC,"22.8700° N, 88.3700° E",16,5,336,156,43,537,0,27,214,5,94,235,0,438,219,0,0,0,0,152,504,580,763,2157
862,West Bengal,Diamond Harbour Police,"22.1500° N, 88.2200° E",44,9,774,2124,96,2028,0,81,300,0,83,263,2,261,109,0,13,0,4,334,644,833,1184,3957
863,West Bengal,Kalimpong,"27.0700° N, 88.4700° E",9,1,50,72,17,185,0,10,70,1,1,47,0,32,16,0,0,0,0,30,24,39,88,289
864,West Bengal,Purba Bardhaman,"23.1800° N, 88.0200° E",98,12,996,1881,190,2566,0,36,398,12,199,522,4,644,324,0,0,0,0,1012,1077,1583,2639,6723
865,West Bengal,Sundarban Police,"22.1700° N, 88.4200° E",41,2,337,2529,79,1837,0,155,248,17,33,193,0,294,147,0,0,0,0,266,762,895,521,3137
866,West Bengal,Barasat,"22.7500° N, 88.4200° E",52,2,1216,4068,150,3214,0,54,506,11,71,442,0,474,237,0,0,0,0,332,789,955,1466,5726
867,West Bengal,Basirhat,"22.6200° N, 88.6200° E",39,6,1005,2547,60,3499,0,21,200,9,28,211,0,261,114,0,0,0,0,74,701,738,675,3968
868,West Bengal,Bangaon,"22.9700° N, 88.8200° E",20,4,705,2343,170,2227,0,12,212,0,96,298,4,420,212,0,0,0,0,0,640,640,655,3476
869,West Bengal,Islampur,"25.8700° N, 88.2300° E",39,1,746,1333,8,1501,0,28,264,3,20,254,2,42,22,1,392,0,0,190,435,923,34,2456
870,West Bengal,Jangipur Police District,"24.4700° N, 88.1700° E",42,1,689,1323,52,1501,0,15,216,0,63,177,22,114,68,1,102,0,0,92,533,682,158,2282
871,West Bengal,Krishnagar,"(23.4200° N, 88.5000° E)",76,10,1278,2541,92,3510,0,15,398,20,171,419,18,476,247,0,0,0,0,254,696,823,1916,5897
872,West Bengal,Raiganj,"(25.7800° N, 88.1200° E)",35,6,974,2404,22,2381,0,39,330,5,13,256,0,196,98,0,0,0,0,258,390,519,592,3415
873,West Bengal,Ranaghat,"(23.2000° N, 88.5800° E)",38,8,450,438,101,1369,0,6,212,5,80,303,0,240,120,0,96,0,0,114,724,877,1547,3633
874,A&N Islands,South Andaman,"(11.6667° N, 92.7275° E)",12,2,82,131,44,168,0,8,30,24,2,36,0,48,21,0,13,0,0,154,8,98,7,299
875,A&N Islands,North & Middle Andaman,"(12.3167° N, 93.1500° E)",4,1,10,36,26,44,0,0,8,8,0,10,0,12,5,0,0,0,0,34,5,22,1,75
876,A&N Islands,Nicobar,"(7.8167° N, 93.8167° E)",0,0,2,6,5,7,0,0,2,0,0,1,0,2,1,0,1,0,0,4,1,4,0,12
877,Chandigarh,Chandigarh,"(30.7167° N, 76.7333° E)",17,1,283,318,81,1030,0,119,1514,188,32,942,2,367,168,0,312,0,0,289,118,591,178,2401
878,D&N Haveli and Daman & Diu,D&N Haveli,"(28.4500° N, 76.4500° E)",11,0,165,66,8,176,0,9,60,64,8,70,0,39,17,0,2,0,0,100,9,61,11,282
879,D&N Haveli and Daman & Diu,Daman,"(20.4167° N, 72.8500° E)",3,1,69,15,4,152,0,0,60,26,8,71,0,28,14,0,0,0,0,24,5,17,11,171
880,D&N Haveli and Daman & Diu,Diu,"(20.7000° N, 71.1000° E)",0,0,30,6,3,21,0,3,8,4,1,9,0,0,0,0,4,0,0,12,2,12,1,37
881,Delhi,Central,"(28.6149° N, 77.2067° E)",20,7,249,1062,380,1817,0,18,17746,396,142,9256,2,546,240,0,1884,0,0,2146,150,3981,205,14714
882,Delhi,Crime Branch,"(28.6139° N, 77.2875° E)",0,0,4,0,2,10,0,0,4,9,3,21,0,238,88,0,2,0,0,0,1,3,0,115
883,Delhi,East,"(28.6129° N, 77.2057° E)",21,5,334,1197,314,2177,0,57,30778,280,186,15743,0,431,203,0,2905,0,0,636,298,3612,60,20799
884,Delhi,EOW,"(28.5667° N, 77.1039° E)",0,0,0,0,0,0,0,0,0,0,0,68,0,338,169,0,0,0,0,0,0,0,0,203
885,Delhi,IGI Airport,"(28.6272° N, 77.2090° E)",1,0,3,3,15,11,0,4,440,0,0,226,0,242,121,0,2,0,0,48,21,47,6,409
886,Delhi,Metro,"(28.6139° N, 77.2067° E)",0,0,0,9,21,12,0,0,4832,10,0,2426,0,30,15,0,275,0,0,4,5,283,4,2738
887,Delhi,New Delhi,"(28.6600° N, 77.2067° E)",2,0,134,99,66,270,0,16,3046,46,10,1581,48,509,252,0,569,0,0,261,38,750,46,2787
888,Delhi,North,"(28.6803° N, 77.3169° E)",24,3,384,822,272,1978,0,15,28716,638,171,14901,0,804,302,0,3370,0,0,1768,283,5138,184,21514
889,Delhi,North-East,"(28.7239° N, 77.1039° E)",41,11,366,1821,238,3319,0,19,38366,236,253,19571,0,309,148,0,3833,0,0,911,484,4940,92,26388
890,Delhi,North-West,"(28.4500° N, 77.0500° E)",35,4,422,1182,270,2307,0,70,38422,351,195,19614,2,405,192,0,5729,0,0,945,310,6772,142,27939
891,Delhi,Outer,"(28.6230° N, 77.2067° E)",46,5,440,1332,257,3214,0,213,29782,448,223,15383,0,514,238,0,5541,0,0,1545,282,7124,64,24390
892,Delhi,RAILWAY,"(28.5200° N, 77.2067° E)",2,1,0,7,3,49,0,4,4498,1,2,2254,2,12,7,0,0,0,0,2,1,2,12,2294
893,Delhi,South,"(28.5200° N, 77.2875° E)",36,3,384,860,269,2211,0,132,24254,442,199,12568,0,750,346,0,2461,0,0,955,410,3561,120,17790
894,Delhi,South-East,"(28.5200° N, 77.1039° E)",32,2,495,1344,489,3149,0,119,28768,518,161,14846,0,1051,506,0,2641,0,0,1299,331,3877,219,21104
895,Delhi,South-West,"(28.6139° N, 77.2067° E)",17,3,405,588,263,2000,0,141,19020,268,76,9744,0,687,273,0,1803,0,0,909,223,2622,68,13719
896,Delhi,Spl Cell,"(28.6139° N, 77.2067° E)",0,0,29,0,16,37,12,18,0,7,0,9,10,346,122,0,0,0,0,0,1,1,4,182
897,Delhi,SPUWAC,"(28.6139° N, 77.2067° E)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,62
898,Delhi,Vigilance,"(28.6139° N, 77.1039° E)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,Delhi,West,"(28.7000° N, 77.1000° E)",29,5,496,864,314,2132,0,29,32448,330,145,16580,0,860,394,0,3206,0,0,1654,519,5097,191,23381
900,Delhi,Rohini,"(28.6500° N, 77.3000° E)",46,2,307,783,277,2202,0,14,26172,372,120,13427,0,603,245,0,2145,0,0,347,429,2762,120,17617
901,Delhi,Shahdara,"(28.5833° N, 77.0500° E)",12,1,290,998,271,1579,0,71,22966,439,139,11900,6,645,270,0,2945,0,0,432,472,3704,21,16797
902,Delhi,Dwarka,"(28.7000° N, 77.1000° E)",43,3,513,1677,612,3284,0,41,31694,274,150,16169,2,1172,495,0,1979,0,0,1149,914,3683,55,22163
903,Delhi,Outer North,"(34.5580° N, 76.1425° E)",52,5,613,1209,186,3687,0,32,18010,379,212,9430,0,593,241,0,1924,0,0,1443,296,3407,111,14799
904,Ladakh,Kargil,"(34.5580° N, 76.1425° E)",4,1,22,15,4,26,0,12,8,6,0,7,0,21,8,0,0,0,0,184,1,93,42,176
905,Ladakh,Leh,"(34.1508° N, 77.5736° E)",1,1,129,84,6,90,0,12,12,17,0,17,0,26,13,0,106,0,0,190,18,219,11,343
906,Lakshadweep,Lakshadweep,"(10°34′N, 72°38′E)",1,0,4,51,2,21,3,12,14,0,0,11,0,2,1,0,0,1,0,4,14,18,33,89
907,Puducherry,Karaikal,"(10.925440° N, 79.838005° E)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,Puducherry,Puducherry,"(10.925440° N, 79.838005° E)",19,0,328,2106,62,1099,0,266,816,152,26,527,8,171,82,54,0,0,0,1804,53,1020,1130,3851
