S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
284,Jammu & Kashmir,Udhampur,"32.9167° N, 75.1167° E",9,1,192,240,106,511,0,0,174,98,1,141,0,14,7,0,226,0,0,654,150,703,23,1275
285,Jammu & Kashmir,Cyber Crime Jammu,"32.7437° N, 74.8564° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Jammu & Kashmir,Cyber Crime Kashmir,"34.0887° N, 74.7956° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Jammu & Kashmir,Anti Narcotic Task Force Jammu,"32.7317° N, 74.8681° E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Jharkhand,Bokaro,"23.7514° N, 86.4361° E",57,0,1261,2745,90,2462,0,58,1432,244,27,917,0,288,144,0,0,0,0,66,103,136,214,3423
289,Jharkhand,Chaibasa,"22.5528° N, 85.7872° E",109,1,442,174,30,586,0,24,282,65,22,197,2,60,31,0,19,0,0,58,12,60,82,847
290,Jharkhand,Chatra,"24.2344° N, 84.8836° E",46,0,281,1560,52,910,0,324,370,76,39,266,0,98,49,0,0,0,0,70,14,49,205,1457
291,Jharkhand,Deoghar,"24.4948° N, 86.7142° E",70,5,410,948,205,1112,0,549,1084,209,67,857,0,166,83,0,0,0,0,114,37,94,420,2410
292,Jharkhand,Dhanbad,"23.7948° N, 86.4361° E",71,5,835,848,154,1469,0,345,2452,399,89,2079,0,473,181,0,12,0,0,294,132,291,732,4219
293,Jharkhand,Dhanbad Railway,"23.8047° N, 86.4264° E",3,0,2,39,0,27,0,3,572,2,1,301,0,3,1,0,1,0,0,2,1,3,0,321
294,Jharkhand,Dumka,"24.2715° N, 87.2416° E",57,2,563,615,134,838,0,153,618,203,34,496,0,48,24,0,0,0,0,143,33,105,84,1388
295,Jharkhand,Garhwa,"24.0708° N, 83.8247° E",102,0,666,1572,302,1775,0,408,436,169,39,346,0,174,87,0,0,0,0,128,78,142,106,2239
296,Jharkhand,Giridih,"24.1749° N, 86.3208° E",74,0,900,1518,320,1692,0,831,736,143,37,476,0,216,108,0,0,0,0,0,64,64,488,2907
